BALANCE,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,BALANCE_FREQUENCY,PRC_FULL_PAYMENT,TENURE
0.008526602439697393,0.048740612067644205,0.0,0.08923393508558602,0.0,0.166667,0.0,0.083333,0.0,0.0,0.06896551724137931,0.11409395973154363,0.11261842584347967,0.11369696464404475,0.818182,0.0,12.0
0.1770279517843609,0.008174526132938231,0.014349775784753363,0.0,0.0,0.083333,0.199999040000768,0.0,0.0,0.0,0.034482758620689655,0.14093959731543623,0.38324844524416324,0.2008529927764178,,,
0.3952295668956891,0.22285801869922853,0.0,0.40800673463661025,0.0,1.0,0.0,1.0,0.0,0.0,0.41379310344827586,0.28859060402684567,0.38366320430235307,0.4386435765999526,,,
0.2198059257526818,0.4401420323915598,0.5932645739910314,0.1870732391731363,0.0,0.333333,0.199999040000768,0.25,0.0,0.0,0.1724137931034483,0.919463087248322,0.38889568048879297,0.25646069681682193,,,
0.6011065006359995,0.0,0.0,0.0,0.12295972198318753,0.0,0.0,0.0,0.18749943749943754,0.14285714285714285,0.0,0.3825503355704698,0.455551517585805,0.817734689035068,1.0,0.0,12.0
0.4491155665927581,0.0,0.0,0.0,0.9871464815665426,0.0,0.0,0.0,0.5625005625005626,0.42857142857142855,0.0,0.3825503355704698,0.22062021392361272,0.309952487274112,,,
0.03648261531225692,0.20415879017013233,0.0,0.37377233186792636,0.0,1.0,0.0,1.0,0.0,0.0,0.41379310344827586,0.3825503355704698,0.12028758189421916,0.13314764812945623,,,
0.35017977872833184,0.052112604097481224,0.09147982062780269,0.0,0.08680660103414942,0.166667,0.400000479999616,0.0,0.5625005625005626,0.7142857142857142,0.06896551724137931,0.20805369127516776,0.5035578606275729,0.8021881676506426,1.0,0.0,12.0
0.02691958002392717,0.11918459101823942,0.0,0.2182022261715462,0.0,1.0,0.0,1.0,0.0,0.0,0.41379310344827586,0.11409395973154363,0.11600980419926231,0.13459080475572502,1.0,0.0,12.0
0.004440546767320277,0.051090788330863945,0.0,0.09353661958656816,0.0,0.416667,0.0,0.416667,0.0,0.0,0.1724137931034483,0.9060402684563758,0.08931442829744005,0.1303983189542382,,,
0.3589395137181053,0.0,0.0,0.0,0.03519353550976828,0.0,0.0,0.0,0.18749943749943754,0.14285714285714285,0.0,0.22147651006711408,0.19763421920252391,0.5235262536683052,,,
0.2948180618674647,0.0,0.0,0.0,0.5252870646755834,0.0,0.0,0.0,0.18749943749943754,0.14285714285714285,0.0,0.18120805369127516,0.21285094753410272,0.2642347021496841,,,
0.18702668732619043,0.2592857507791345,0.4551569506726457,0.0,0.24644217544857305,0.166667,0.400000479999616,0.0,0.18749943749943754,0.2857142857142857,0.10344827586206896,0.5167785234899329,0.33187014085780847,0.2353386564248176,,,
0.3392720361700857,0.0,0.0,0.0,0.11393579056431115,0.0,0.0,0.0,0.5625005625005626,0.42857142857142855,0.0,0.44966442953020125,0.3909099105910241,0.479578469847524,,,
0.337127326120553,0.033822101875031936,0.05937219730941704,0.0,0.0,0.083333,0.199999040000768,0.0,0.0,0.0,0.034482758620689655,0.19463087248322145,0.19001476706579015,0.6912846965331316,1.0,0.0,12.0
0.38100161299217017,0.2106626475246513,0.29166816143497754,0.08148910298381817,0.0,0.583333,0.799998560001152,0.166667,0.0,0.0,0.3793103448275862,0.22147651006711408,0.4395384032944177,0.7415260192112221,,,
0.17532151935446702,0.0,0.0,0.0,0.32207568004800574,0.0,0.0,0.0,0.2812502812502813,0.14285714285714285,0.0,0.18120805369127516,0.08097005207140934,0.14672995731933378,0.875,0.0,8.0
0.3415765099493886,0.0,0.0,0.0,0.13575773415084866,0.0,0.0,0.0,0.9375016875016876,0.8571428571428571,0.0,0.31543624161073824,0.30469869096320285,0.29033617153537694,,,
0.39204520651966346,0.3647371378940377,0.4511928251121076,0.19719390141240298,0.0,0.5,0.23999980800015364,0.4,0.0,0.0,0.27586206896551724,0.2818791946308724,0.5028982689030305,0.5137481450914498,,,
0.11512521826453999,0.40460838910744396,0.4633542600896861,0.25750631372182214,0.0,0.272727,0.21818142545485966,0.181818,0.0,0.0,0.24137931034482757,0.785234899328859,0.7392416782539057,0.14349960849700363,,,
0.1252063080512624,0.16349052265876463,0.0,0.29931718267701807,0.0,0.75,0.0,0.666667,0.0,0.0,0.27586206896551724,0.18120805369127516,0.8151907950645637,0.15564912890885468,,,
0.0034197676979162515,0.12509579522812037,0.0360627802690583,0.19141333832195306,0.0,0.666667,0.400000479999616,0.583333,0.0,0.0,0.4482758620689655,0.6510067114093959,0.20121315259724884,0.09880715588024733,,,
0.8754007558149411,0.022990854748888775,0.04035874439461883,0.0,0.03695692742244051,0.083333,0.199999040000768,0.0,0.18749943749943754,0.14285714285714285,0.034482758620689655,0.5838926174496644,0.6078645454760359,0.8003322002951854,,,
0.28630067217769645,0.02332294487303939,0.04094170403587444,0.0,0.17573229576860527,0.083333,0.199999040000768,0.0,0.18749943749943754,0.14285714285714285,0.034482758620689655,0.22147651006711408,0.2483718746665718,0.2569551042666947,,,
0.5292582996718802,0.4128135697133807,0.7246636771300449,0.0,0.3403111478029119,0.25,0.599999520000384,0.0,0.7500000000000001,0.8571428571428571,0.13793103448275862,0.5167785234899329,0.30056397160510573,0.8483755830213429,,,
0.08829775814793178,0.48109129923874727,0.0,0.8807782246749604,0.0,1.0,0.0,1.0,0.0,0.0,0.41379310344827586,0.31543624161073824,0.621463004211728,0.14441044681343024,1.0,0.0,12.0
0.270064366988382,0.21647167015787053,0.15931838565022421,0.23015620615470958,0.14621340296178978,0.666667,0.400000479999616,0.5,0.18749943749943754,0.2857142857142857,0.3448275862068966,0.2483221476510067,0.325727528760099,0.4107714403285316,1.0,0.0,12.0
